"Week", "Week Ending", "State", "Season", "Total", "Lab", "Visits", "Hospitalizations"
40,"–  10,  2015",DE,season,total,could not retrieve,visits,hospitalization
42,"October – 25, 2015",DE,season,total,could not retrieve,visits,hospitalization
43,"October – 31, 2015",DE,season,total,0,visits,hospitalization
44,"November 7, 2015",DE,season,total,two,visits,hospitalization
45,"November 14, 2015",DE,season,total,0,visits,hospitalization
46,"November 21, 2015",DE,season,total,0,visits,hospitalization
47,"November 28, 2015",DE,season,total,0,visits,hospitalization
48,"November – December 5, 2015",DE,season,total,three,visits,hospitalization
49,"December 12, 2015",DE,season,total,0,visits,hospitalization
50,"December 19, 2015",DE,season,total,0,visits,hospitalization
51,"December 26, 2015",DE,season,total,three,visits,hospitalization
52,"December, 2015 – January 3, 2016",DE,season,total,three,visits,hospitalization
1,"-  9,  2016",DE,season,total,four,visits,hospitalization
2,"-  16,  2016",DE,season,total,two,visits,hospitalization
3,"January   23, 2016",DE,season,total,three,visits,hospitalization
4,"January   30, 2016",DE,season,total,six,visits,hospitalization
5,"–  February  6,  2016",DE,season,total,six,visits,hospitalization
6,"-  13,  2016",DE,season,total,20,visits,hospitalization
7,"February   20, 2016",DE,season,total,42,visits,hospitalization
8,"February   27, 2016",DE,season,total,118,visits,hospitalization
9,"–  March  5,  2016",DE,season,total,197,visits,hospitalization
10,"March   12, 2016",DE,season,total,409,visits,hospitalization
11,"March   19, 2016",DE,season,total,306,visits,hospitalization
12,"March 26, 2016",DE,season,total,268,visits,hospitalization
13,"–  April  2,  2016",DE,season,total,193,visits,hospitalization
14,"April – 9, 2016",DE,season,total,132,visits,hospitalization
15,"-  16,  2016",DE,season,total,101,visits,hospitalization
16,"-  23,  2016",DE,season,total,134,visits,hospitalization
17,"April   30, 2016",DE,season,total,88,visits,hospitalization
18,"-  7,  2016",DE,season,total,63,visits,hospitalization
19,"May   13, 2016",DE,season,total,52,visits,hospitalization
20,"May – 21, 2016",DE,season,total,33,visits,hospitalization
40,"–  8,  2016",DE,season,total,could not retrieve,visits,hospitalization
41,"October   15, 2016",DE,season,total,0,visits,hospitalization
43,"October   29, 2016",DE,season,total,three,visits,hospitalization
44,"October – November 5, 2016",DE,season,total,could not retrieve,visits,hospitalization
45,"–  12,  2016",DE,season,total,two,visits,hospitalization
46,"November – 19, 2016",DE,season,total,six,visits,hospitalization
47,"November   26, 2016",DE,season,total,eight,visits,hospitalization
48,"November – December 3, 2016",DE,season,total,21,visits,hospitalization
49,"December   10, 2016",DE,season,total,19,visits,hospitalization
50,"-  17,  2016",DE,season,total,28,visits,hospitalization
51,"December   24, 2016",DE,season,total,40,visits,hospitalization
52,"December   31, 2016",DE,season,total,68,visits,hospitalization
1,"January – 7, 2017",DE,season,total,85,visits,hospitalization
2,"January   14, 2017",DE,season,total,107,visits,hospitalization
3,"-  21,  2017",DE,season,total,127,visits,hospitalization
4,"-  28,  2017",DE,season,total,127,visits,hospitalization
5,"–  February  4,  2017",DE,season,total,238,visits,hospitalization
6,"-  11,  2017",DE,season,total,385,visits,hospitalization
7,"February   18, 2017",DE,season,total,418,visits,hospitalization
8,"February   25, 2017",DE,season,total,562,visits,hospitalization
9,"February – March 4, 2017",DE,season,total,391,visits,hospitalization
10,"March   11, 2017",DE,season,total,391,visits,hospitalization
11,"March   18, 2017",DE,season,total,316,visits,hospitalization
12,"March   25, 2017",DE,season,total,344,visits,hospitalization
13,"March – April 1, 2017",DE,season,total,377,visits,hospitalization
14,"April   8, 2017",DE,season,total,206,visits,hospitalization
15,"April   15, 2017",DE,season,total,108,visits,hospitalization
16,"April   22, 2017",DE,season,total,59,visits,hospitalization
17,"April   29, 2017",DE,season,total,26,visits,hospitalization
18,"April – May 6, 2017",DE,season,total,19,visits,hospitalization
19,"May   13, 2017",DE,season,total,ten,visits,hospitalization
20,"May   20, 2017",DE,season,total,two,visits,hospitalization
